"","fbname","betweenness"
"513","Step for Stance Auto Party",133949.574318077
"514","中二萌團 - 不負責動漫亂評",133498.229947247
"515","香港本土力量 Hong Kong Localism Power",133367.796664044
"516","香港學生媒體 Media of Hong Kong Students",133355.963255695
"517","白影",133295.748773295
"518","JLMusic",133045.38826061
"519","大專政改關注組",132959.419435779
"520","張寶華 Sharon",132763.77451591
"521","藝界起動 Artists Action",132740.265529642
"522","Hidden Agenda",132731.098572916
"523","三十過後一個人住",132659.722584079
"524","花生觀察家",132582.293169133
"525","A nice place to",132386.169768628
"526","葉蘊儀 Gloria Yip グロリア・イップ",132353.95771699
"527","StartupBeat",132324.619639821
"528","博勢力",132252.838625321
"529","開心Share",132202.160628879
"530","Neo Derm Beauty",132114.271449363
"531","now 娛樂生活",131978.537627971
"532","Fashion Walk",131111.102360337
"533","鄧小樺 TANG SIU WA",130984.303010259
"534","職工盟(HKCTU)",130942.256612476
"535","SIZZ",130730.600281459
"536","我愛Mama",130612.31984865
"537","將軍澳友 Captain O",130554.713139256
"538","雨僑 YuKiu Ava",130361.030265354
"539","支持香港警察",130038.958634598
"540","民間電台(CITIZENS' RADIO)",129666.782801853
"541","Tango 蛋糕陳",129225.132142752
"542","Alan Leong Kah-Kit",128737.193760908
"543","港人自講 Talk Hong Kong",128128.349253426
"544","Hong Kong Pride Parade 香港同志遊行",127070.811983124
"545","CUP 媒體",127059.994324483
"546","香港天主教資訊通",127022.499974576
"547","本土Y世代",126744.878031936
"548","CABLE+",126353.226361748
"549","HKCSS 香港社會服務聯會",126070.659997072
"550","足球快報 FootballExp",125791.845474822
"551","升旗易得道",125706.869006357
"552","Hong Kong Baptist University Students' Union 香港浸會大學學生會",125525.871866317
"553","The Metroplex",125221.970807532
"554","一田百貨 (YATA) - official Page",125050.153032674
"555","ToySoul 亞洲玩具展",124864.462614881
"556","旺角社區團結－旺角佔領直擊",124802.521879357
"557","思潮起動",124684.485757819
"558","民間人權陣線 Civil Human Rights Front",124210.116183808
"559","David Yeung 楊大偉",124101.219348199
"560","Sammy Leung",123815.934608223
"561","文化及雜誌界撐香港",123680.442464841
"562","Mr & Ms HK People",123596.438352335
"563","Page One (HK)",123585.708142277
"564","Claudia Mo/毛孟靜",123211.510706823
"565","Musician AREA",122970.36594812
"566","要求遣返難民大聯盟",122862.362086832
"567","moto-one.com.hk",122583.481704108
"568","DBC 8910 Good Morning",122503.443560855
"569","香港天氣資訊中心",122006.464631362
"570","艾力 Eric",121729.884334701
"571","版權及二次創作關注聯盟 Copyrights & Derivative Works Alliance",121497.137508058
"572","我支持劉Sir仗義執言",121437.654602796
"573","十一良心消費 Tithe Ethical Consumption",121320.945030219
"574","1圈圈",120981.139704391
"575","偲嫣迎新營",120839.960953688
"576","Gimme5",120651.304141309
"577","鴨脷洲變形記",120595.286042321
"578","《發燒玩家》",120528.991350877
"579","毛言地",120386.516205106
"580","香港傳統節日",120261.13162344
"581","Warner Music Hong Kong (International)",120117.656520588
"582","HKDoujin",120095.932950144
"583","南區人，南區事",119990.608387458
"584","Serrini",119386.360063503
"585","血濃於老味 Blood Lei Lo Mei",119295.224987195
"586","Hong Kong International Airport 香港國際機場",119271.659483321
"587","商務印書館 The Commercial Press",119146.609172719
"588","奧海城 Olympian City",119109.01254958
"589","STAR WARS HONG KONG",118629.750152796
"590","Alicehaha",118417.715972646
"591","Brands United - BU",118205.496105085
"592","陳奐仁 Hanjin Tan",118017.769061044
"593","食光光 EmptyPlate Action HK",117667.889631625
"594","Neway Karaoke Box Hong Kong",117554.806855167
"595","游學修 Neo Yau",117531.403836451
"596","The North Face Hong Kong",117189.530243635
"597","metropop",117139.002168871
"598","nomad nomad",117126.465071922
"599","Music Surveillance",117076.471320643
"600","港嘢 Kong Yeah",117066.439436167
"601","Canada-Hong Kong Link",116962.420728174
"602","我真心撐警察極醜惡專頁",116677.51703164
"603","the pancakes",116580.240001368
"604","Shadow",116430.935856078
"605","樹大招風Trivisa",116263.305321814
"606","逆嘶亭",116225.429620677
"607","守護大嶼聯盟 Save Lantau Alliance",116062.797312508
"608","鄭松泰",115784.250221196
"609","Miss Hunny",115755.560272619
"610","石先生",115747.697091554
"611","山卡啦",115718.571022985
"612","電影文化中心 Film Culture Centre - Hong Kong",115681.10526027
"613","Go! Japan",115623.526944344
"614","Draword - 畫字",115597.387190027
"615","阿炸",114998.255117271
"616","I am a Hongkonger, 我係香港人！",114917.724272537
"617","Baby Magazine 親子雜誌",114816.513377322
"618","香港作家王迪詩",114686.992880785
"619","Disney Movies Hong Kong",114514.536277788
"620","黑口西面 - KuroGuchi NishiMen",114112.273871216
"621","波波池",113919.209190226
"622","Joey Kwok Photography",113910.509371112
"623","孤泣",113897.693834715
"624","信報財經新聞 hkej.com",113870.304523347
"625","活人拳法家",113793.590073704
"626","元朗本土行動組",113487.971645614
"627","Snow Suen 孫慧雪",113318.528781792
"628","廢柴同學會",113184.991211284
"629","【堅．筲箕灣人】梁詠詩老師 Jenny Leung",113146.666917773
"630","GoBuya 夠買網",112956.237796481
"631","JOOX",112777.009506953
"632","teakha 茶。家",112650.607114857
"633","李璧琦 Becky Lee",112544.44055965
"634","香港ウンチク話",112395.71739826
"635","急急Touch",112266.096189389
"636","企業號航行網誌",112215.936041336
"637","香港公平貿易聯盟 Fair Trade Hong Kong Foundation",112206.000499846
"638","Dean Siu 邵子風",111532.763634516
"639","黎汶洛 Oscar Lai Man Lok",111259.610824847
"640","kurskhk.net",110687.449512772
"641","港大法律學生政改關注組 HKU Law Students Political Reform Concern Group",110625.121674346
"642","Vicky Fung 馮穎琪",110610.246831016
"643","羅乃萱Shirley Loo",110359.813313498
"644","Warner Music Hong Kong",110251.809728652
"645","Super fans",110203.342779178
"646","《社區好鄰居》",110078.738943992
"647","Hakgwai",109974.665725285
"648","香港討論區",109660.732370285
"649","李克勤 Hacken Lee",109602.586625947
"650","香港主播",109559.462060871
"651","Jockey Club Design Institute for Social Innovation",109519.16394979
"652","hkitalk.net 香港交通﹒資訊網",109342.614076436
"653","周小某",109326.611211381
"654","OpenSnap",109208.695904577
"655","八鄉朱凱迪",109122.317865918
"656","別別豬.Bi Bi PIG",108659.849689348
"657","香港生物多樣性節 Hong Kong Biodiversity Festival",108521.404553252
"658","巴士模型博物館",108451.536341592
"659","牧羊少年咖啡．茶．酒館",108426.136903053
"660","明報即時新聞",108407.425385086
"661","1LookChat",108350.881758654
"662","Cinema City",108296.952803858
"663","十年 Ten Years",108198.413731624
"664","數碼捕籠",108169.816178287
"665","Hong Kong Adventure Corps 香港少年領袖團",107786.950725682
"666","Chessman Hong Kong 棋人香港",107545.467843344
"667","Visit Japan for HK",106958.897218928
"668","火鳳燎原",106463.336708279
"669","畢明 budming",106356.198808235
"670","好宅之人",106096.687753304
"671","Sulu Sou Ka Hou",105974.446193254
"672","本土工作室 Local Studio HK",105708.922134406
"673","周國賢 Endy Chow jaugwokyin",105634.763160522
"674","讀書好",105577.99833643
"675","總有路走-傳恩惠您",105438.652976547
"676","Youth.gov.hk",105438.145405821
"677","天拉吧．Tin Library",105317.519153345
"678","口水多過浪花",105301.610984829
"679","VegBo",105269.190241661
"680","靛",105234.14842582
"681","海星的文具",105088.789156765
"682","嶺南大學學生會 Lingnan University Students' Union",104964.856573135
"683","生活書院 School of Everyday Life",104819.074278196
"684","Actors' Square A2 創作社",104459.39688538
"685","唔幫襯地產商的聖誕",103879.755355029
"686","香港勁揪 Kickass Hong Kong",103557.605106478
"687","EARTH.er",103456.481582609
"688","PCM",103270.202423883
"689","Good Seed HK",103195.867814607
"690","沙田新幹綫",103058.383258224
"691","Sanrio Hong Kong",102972.002524027
"692","東方足球隊 Eastern Football Team",102888.347513054
"693","忠義民團（民間自發組織）",102777.876665359
"694","二次創作權關注組 Concern Group of Rights of Derivative Works",102619.163786216
"695","《社區公民約章》運動",102408.754664155
"696","得罪講句",102400.010931932
"697","香港城市大學學生會 City University of Hong Kong Students' Union",102277.304651491
"698","RTHK CIBS 香港電台社區參與廣播服務",102137.831635581
"699","NPV 非牟利獸醫服務協會 (Non-Profit Making veterinary services society Ltd)",102096.07933626
"700","有班女仔",102072.575492603
"701","陳恒鑌",101842.559291748
"702","飄流製作 DIASPORA PRODUCTION",101828.177504873
"703","Joey in Hong Kong",101653.259379171
"704","學生文藝",101640.074867844
"705","West Kowloon Cultural District 藝游西九",101512.262077241
"706","大樹孩子生活館 Tree Children's Lodge",101307.947721224
"707","手作J - 橡皮印章",101170.515790807
"708","施寶盛",101030.786479891
"709","Audrey Eu 余若薇",100875.985518411
"710","論盡音樂 Stupid Music",100828.08772221
"711","林輝：旅遊寫作人",100591.50688841
"712","Shemom",100382.015379106
"713","歡迎偷圖",100378.827575289
"714","趙學而 Bondy Chiu",100205.744482977
"715","長者安居協會 Senior Citizen Home Safety Association",99855.337002759
"716","VolTra義遊",99713.1095941196
"717","爾雅集",99239.5339728104
"718","山地媽",99033.7337479666
"719","Universal Pictures Hong Kong",99015.9131978242
"720","現在攝影 Photo Now",98963.0565535679
"721","ProMini",98707.2879315856
"722","陳雅明",98690.76939012
"723","椰子是無辜的",98488.8414971387
"724","Hong Kong YWCA 香港基督教女青年會",98317.8524127377
"725","MTR Service Update",98235.1559614343
"726","政總留守抗爭日記",98111.407246793
"727","Microsoft",98033.3882603302
"728","HK Dry Club",98015.5519274503
"729","筆下留情：足球說歷史",97987.3646386002
"730","救世軍屯門青少年綜合服務",97969.1407815861
"731","Afternoon market《午後市集》",97960.676800124
"732","Moveon",97956.6571281018
"733","UNICEF Hong Kong",97706.8675835854
"734","Ivana Wong 王菀之",97667.9639259745
"735","7-Eleven Hong Kong",97254.0015639326
"736","利世民",97208.5276585201
"737","Walk In Hong Kong 活現香港",96989.2266486315
"738","RG17 . APH 大富翁街",96952.3717711571
"739","photobyben",96920.9131944914
"740","醒吓啦，香港人！UP for HK",96714.8509959377
"741","香港話劇團 Hong Kong Repertory Theatre",96483.860000839
"742","3HK",96299.4809114273
"743","Try it",96229.5646453439
"744","哪一天我們會飛 同學會",95953.2009645728
"745","港男港女",95888.7904990744
"746","Hong Kong Cleanup / 清潔香港",95816.9671271503
"747","史檔",95754.4086939619
"748","Organic We 對得住地球基地",95489.3141570783
"749","香港網絡廣播電台",95404.4775172958
"750","Post76玩樂網",95384.6322475484
"751","社區文化關注 Community Cultural Concern",95182.626046011
"752","護士政改關注組",94263.5147348613
"753","沙米の旅日部屋",93816.1795054806
"754","TopGear 極速誌",93772.3154652392
"755","PIKA黨",93596.4209805451
"756","HKMO 香港市集協會",93487.7354839592
"757","邵仲衡 - 丁孝蟹",93330.7903906431
"758","Kwok Ka Ki 郭家麒",93279.8612500534
"759","橄欖啜核",93269.2219682738
"760","Neofilms 新映影片",93253.5547090572
"761","字悠野",93222.256924249
"762","北區水貨客關注組(North District Parallel Imports Concern Group)",93179.1244677427
"763","Helen To 杜如風",93132.107257496
"764","852郵報",93066.400427523
"765","HKBU Secrets",92952.4783958577
"766","香港寵物節 Pet Show",92749.3990459912
"767","香港膠登 HKGalden",92601.6466946292
"768","香港精神 Hong Kong Spirit",92472.1695427722
"769","Garage Society - Asia",92457.5416955145
"770","Venus Chow 周嘉儀",92085.2642811944
"771","明周 Ming Pao Weekly",92035.2084461743
"772","太興飲食集團",91974.7634845868
"773","Friends of the Earth (HK) 香港地球之友",91947.3643748988
"774","Group Buyer",91937.9177070493
"775","PopCorn@TKO",91803.5724641453
"776","至愛黑白淡奶 I ♥ Black & White",91504.4005897547
"777","Shotcourt Photography",91502.1627575024
"778","香港日本語同好會",91468.9528569759
"779","埔向晴天",91028.2644943037
"780","HKU 100",90761.2162349312
"781","now TV",90601.3492682684
"782","「土家」故事館",90571.3427548715
"783","Akibaya DX (アキバヤ デラックス)秋葉本店",90448.1094718633
"784","OMyCar Hong Kong",90231.7979088648
"785","Bitetone",90152.3243764534
"786","薛可正",90125.3335810715
"787","海豚三十 30 Third Runway Victims",90082.1709926079
"788","黃傘街頭基督徒基層團體 / Yellow Umbrella Christian Base Community",89943.3369326091
"789","體嘢 SportsYeah",89906.7700992416
"790","Disney HK | 迪士尼香港官方 Fan Club",89899.4145869987
"791","鄭達鴻 - Tat Cheng",89890.2183781362
"792","香港警察 Hong Kong Police",89744.7508383183
"793","美孚家•政 Mei Foo Home And Public Affairs",89691.9733398401
"794","香港奧比斯 Orbis Hong Kong",89665.8752336024
"795","與鈞同行 / Walking with TK",89571.0872338308
"796","青馬文化",89427.3881217811
"797","遺愛人間.八鄉牌坊小狗八八",89407.3662862247
"798","FeminArt 文藝女生",89366.4388019383
"799","博群大講堂",89357.5281591136
"800","同班同學 Lazy Hazy Crazy",89242.4277119722
"801","HKonlineTV",89187.4708211569
"802","行山跑步之歡樂影集",88998.4094709224
"803","高志森",88908.0669660316
"804","龍小菌",88833.4823951919
"805","黃美棋Meiki Official",88820.4235888853
"806","學生港波",88796.9006558178
"807","Little Post 「一小步」",88710.83173199
"808","Labour Party Hong Kong",88687.8120785627
"809","Golden Harvest 嘉禾院線",88656.0409490063
"810","雪菜魂 Snowvegetable",88626.4345404327
"811","The News Lens 關鍵評論網 香港",88534.4298141624
"812","Alan Tam",88188.8256655952
"813","Supreme Co. 永高行",88128.4834280796
"814","HKCC",87969.8673963658
"815","凱撒創作 Kaiser Creation",87905.5287778569
"816","Ochivaye Dreams 中東空姐 繼續流浪+尋夢去",87856.7346826058
"817","凝動香港體育基金 InspiringHK Sports Foundation",87831.6203087819
"818","「天台」The Platform Of Catholic Social Teaching",87793.8025734086
"819","Love Adopt Animal Society 愛領養動物中心",87747.6681453461
"820","香港自治運動 － 龍獅香港旗",87731.1908103047
"821","澳門人協會",87665.3972509722
"822","萬里機構 wanlibk.com",87635.1564613378
"823","Big Love Alliance 大愛同盟",87626.3533473943
"824","Ody Leung 梁健文",87580.5089386075
"825","朱米高雜講",87496.8691399429
"826","常識 Common Sense",87295.308269814
"827","feversound.com",87190.7551196764
"828","Dustykid",87046.9594368645
"829","葉政淳毒撚雜誌",87038.0145782305
"830","USHB",86949.8487586374
"831","24s 籃球",86938.5980498311
"832","區諾軒 Au Nok-hin",86931.3301333024
"833","三聯書店 Joint Publishing",86823.4832229976
"834","香港 寵物領養",86658.8626095917
"835","香港昔日情懷  the Good Old Days of Hong Kong",86508.2989479088
"836","現代教育 Modern Education",86388.4912741817
"837","Stage Plug News 音場新聞",86361.2399681506
"838","爆片王",86337.1939824866
"839","要求建制派議員票債票償運動",86225.5880013006
"840","小店撐佔領﹗",86129.0906587715
"841","Durianbb.com 榴槤 BB",86113.2823200461
"842","Code for Hong Kong",85968.4295833678
"843","我哋係香港人，唔係中國人",85966.8153785451
"844","Marvel",85858.0408041838
"845","中國3D數碼娛樂 China 3D",85853.9161614263
"846","Progressive Lawyers Group 法政匯思",85792.1243282341
"847","Fluid Occupiers",85621.7944865037
"848","慢慢讀",85586.2316695182
"849","Buskingdom",85569.1709372597
"850","Miramar Shopping Centre",85386.0377475558
"851","今生不做機械人夢想計劃",85283.3206466608
"852","光復香港",85273.8693711415
"853","香港作家胡世君",85265.1971610671
"854","Day Day Cook",85221.3090117502
"855","LOG-ON official page",85183.8940739966
"856","franso",85104.6862843673
"857","CantonHymn 恢復粵語詩歌敬拜文化運動",84978.1978376987
"858","tmtplaza 屯門市廣場",84744.4976140126
"859","Hong Kong Art Gallery Association",84738.325340235
"860","林璃蝶",84734.5400061266
"861","盛食當灶 XCHANGE : Social Gastronomy",84683.8358876727
"862","Backstage Live",84590.2510074165
"863","Hong Kong Guide Dogs Association 香港導盲犬協會 (HKGDA)",84442.1270579826
"864","Evita Wong",84209.4736788194
"865","Etpress 經濟日報出版社",84042.1577310504
"866","觀塘友",83869.4039287191
"867","25歲，我們離家出走",83866.9998409705
"868","藝文青",83714.9269620541
"869","Medium Raw － 半生熟製作",83639.5846313386
"870","蔓珠媒體 Manju Media",83579.8261170723
"871","Design Democracy Hong Kong 港人講普選",83574.4556764328
"872","香港花生 hkpeanut.com",83527.2616713641
"873","Parsons Band Club",83512.5058189852
"874","Fight Factory Gym Ltd",83401.3158248562
"875","香港野生雀鳥保育關注組（Hong Kong Wild Bird Conservation Concern Group）",83387.9400793913
"876","唐寧 Leila Kong",83242.9254650844
"877","勇武前綫",83009.1570591805
"878","Jpc 少年警訊 PPRB",82953.9860185121
"879","社漫二號機",82817.8920277911
"880","撐香港 Support HK",82790.8542436426
"881","小時光 xiaoshiguang",82739.2382495287
"882","新閱會 SHKP Reading Club",82663.6659206895
"883","香港民主宣傳小組",82630.7392042988
"884","港媽  港爸",82567.7890566802
"885","普教中學生關注組",82389.8234415756
"886","環球中文經典",82369.684206541
"887","Newsdaily粉絲區",82369.5949964815
"888","Kung Kao Po",82280.3313149696
"889","Daydream Nation",82236.6572103881
"890","攀山攝水",82158.955601414
"891","精算思政 Act Voice",82103.4042922199
"892","同人組織「閃亮大陸Shineland 」",82045.776442066
"893","EMax(九展)",81934.9343880541
"894","PBS 公義之聲",81807.3719896297
"895","Vivian Chan 陳慧敏",81579.7563969483
"896","流動民主課室",81565.9230451763
"897","Peeping Tom 影訊網",81472.9529369508
"898","香港大學學生會學苑即時新聞 Undergrad, H.K.U.S.U. Instant News",81268.0067901147
"899","來生不要做PR",81064.134915954
"900","蘋果Fun享 Apple Daily Fun",80925.076749834
"901","陳琪",80908.9119054723
"902","Sun Pegasus FC 太陽飛馬足球隊",80789.8856903019
"903","JMENplus",80658.6741743656
"904","風流快活人",80565.1228036455
"905","開心快活人",80527.9967081645
"906","Roundtable教育部",80526.9719877977
"907","香港樹仁大學學生會 SYUSU",80517.9374647824
"908","LeEco 樂視",80504.3667225082
"909","Bunny Workshop Showroom",80452.3758603796
"910","屯門人屯門事",80303.8472720972
"911","香港近況文學家協會 Hong Kong Status Writer Council",80299.1480856472
"912","一條褲製作 Pants Theatre Production",80172.4798981868
"913","莫文蔚 Karen Mok",80169.0870094933
"914","Ginger",80066.2537317083
"915","不識時務",79993.4698294744
"916","跑Tee共享",79814.8867417396
"917","Band A Live",79759.3274963421
"918","戲味相投 Drama for Lives",79543.0714047577
"919","烏溪沙路",79447.1865953401
"920","商台探子",79390.4642070595
"921","Young Post",79349.4690886303
"922","鄭司律 CHENG SZE LUT",79187.7117207179
"923","中大性/別關注組",78928.1023789484
"924","G-Form Hong Kong",78719.4082418354
"925","學界男女神",78648.244589135
"926","灣仔友",78555.0995654445
"927","Campus TV, H.K.U.S.U. 香港大學學生會校園電視",78424.2982038864
"928","The Grand",78420.618965083
"929","Broadway/ PALACE/ AMC",78322.0758118508
"930","number 3",78252.6896661587
"931","陳刀 CHEN DAO",78202.8033175139
"932","蜘蛛女- 鄭麗莎LisaCheng",78118.5969953093
"933","James 占士．甸峰",78073.596706765
"934","The HKFYG Jockey Club Social Innovation Centre 青協賽馬會社創中心",78068.7494370635
"935","陸浩明 6號",78038.5074713859
"936","Friends of Palestine in HK",77722.9486438444
"937","綠領行動 Greeners Action",77546.8587759293
"938","今日正",77473.2425305987
"939","亮光文化 Enlighten & Fish",77382.0190033604
"940","恩賢",77364.8002797275
"941","FAM101樂活.家 親子智慧資訊平台",77340.4671254833
"942","OCEAN THREE",77243.8258671559
"943","HKU DreamCatchers",77100.8752833841
"944","仙道彬",77084.5692736668
"945","運動公社",76957.0227632599
"946","猫居 cat state",76954.3171687556
"947","SuperBookcity 超閱網",76944.1786051295
"948","天窗出版社ENRICH CULTURE",76918.0570222679
"949","世勢力撑香港 Global Support for Hong Kong",76908.0361912734
"950","香港小喇叭",76656.1360124443
"951","雅虎香港新聞",76485.1498267469
"952","HKG報 HKGpao",76457.8114964548
"953","公平點 ( FAIR CIRCLE )",76376.8685970101
"954","明報出版社 Ming Pao Publications",76144.6188305809
"955","每一個晚上  譚玉瑛",76016.7247708507
"956","wtc more 世貿中心",75912.3113691194
"957","寰亞唱片 Media Asia",75869.5476089912
"958","The Hong Kong Polytechnic University",75739.3713456099
"959","漫漫步市集",75733.9586211451
"960","DBC 也文也武",75572.1189592234
"961","Pocket Beauty",75528.6019604638
"962","Jamie's Italian Hong Kong",75451.7238758563
"963","Bob Lam 林盛斌",75449.4338591035
"964","點對點 Dot 2 Dot",75441.8628008509
"965","PerspectiveGlobal",75334.1758488173
"966","Kelena 杰寧",75320.5937554158
"967","恩典時刻",75247.0181289333
"968","香港焦點",75166.1234386526
"969","Love&Cherish 愛惜工房",75078.8339567561
"970","South China Morning Post SCMP",74709.3673490794
"971","尖東忌廉哥",74617.3528412512
"972","植屋",74568.8078998201
"973","UA CineHub",74506.1420957617
"974","楊雪盈 Clarisse Yeung",74491.8095638928
"975","黎特",74440.8030644869
"976","Sony Music Entertainment Hong Kong",74424.5633634281
"977","有種部隊 Guts Army",74330.7826887088
"978","新唱一六。童夢成新 NaDreamer",74251.9819966296
"979","UST FYS Secrets",74247.3293054374
"980","小花插畫",74243.7722357112
"981","COMPASS VISA",74220.1735900762
"982","Mingpao OL",74207.8216709924
"983","利萬專業車牌。專門店-LEEMANPLATE.COM",74133.403043743
"984","POPO World",74130.1550521224
"985","Little Thunder 門小雷",73753.0948574723
"986","Donnie Yen-甄子丹 Official",73687.3203015652
"987","HK dot Buy 一點即買",73646.798277729
"988","Hong Kong Science Park",73646.733882731
"989","圓圈加一點",73577.1503962887
"990","何啓華 DeeGor Ho",73555.8031761373
"991","菜姨姨讀書會",73261.0938788698
"992","我要開studio",72995.7085197774
"993","葉一知",72979.9626080073
"994","慧惠",72807.3947851707
"995","林奕匡 Phil Lam",72356.5235630753
"996","袁海文 Ramon YUEN",72286.1135635289
"997","紅磡人 紅磡事",72193.6423724716
"998","書屑 copybook",72181.5902445859
"999","周大福官方專頁 Chow Tai Fook",72149.2739424697
"1000","中大學生報 - Chinese University Student Press",72058.7004886892
